PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
S801,,woke up,2022-02-10,19,Thursday,23:00:00,07:00:00,480,-2,No mask,Alone
H179,,Getting Ready,2022-02-11,19,Friday,07:00:00,07:30:00,30,0,No mask,Alone
ED145,,Breakfast,2022-02-11,19,Friday,07:35:00,08:15:00,45,1,No mask,Alone
H179,,Packing Essentials,2022-02-11,19,Friday,08:15:00,08:40:00,30,-1,No mask,Alone
L418,UD415,Browsing Internet,2022-02-11,19,Friday,08:45:00,09:15:00,30,2,No mask,Alone
EL642,UD415,Review lecture,2022-02-11,19,Friday,09:15:00,09:30:00,15,1,No mask,Alone
L418,UD415,Phone call,2022-02-11,19,Friday,09:40:00,10:00:00,30,2,No mask,Alone
EL642,UD415,online lecture,2022-02-11,19,Friday,10:15:00,11:15:00,60,1,No mask,Alone
O733,UD415,Waiting for the Bus,2022-02-11,19,Friday,11:20:00,11:30:00,15,-2,> 50% time,2-4 people only
T695,,To University,2022-02-11,19,Friday,11:30:00,11:40:00,15,2,> 50% time,Public Place
L418,X893,Short Walk,2022-02-11,19,Friday,11:40:00,12:00:00,30,2,< 50% time,Alone
EL642,,In person lecture,2022-02-11,19,Friday,12:15:00,13:15:00,60,1,> 50% time,Public Place
ED145,,Lunch,2022-02-11,19,Friday,13:30:00,14:15:00,45,1,No mask,Public Place
EL642,UD415,online lecture,2022-02-11,19,Friday,14:15:00,15:15:00,60,1,> 50% time,Public Place
L418,UD415,break,2022-02-11,19,Friday,15:30:00,15:45:00,15,1,< 50% time,Alone
CW982,UD415,Assignment,2022-02-11,19,Friday,15:55:00,17:00:00,75,1,< 50% time,Alone
O733,,Waiting to attend meeting,2022-02-11,19,Friday,17:10:00,17:20:00,15,1,> 50% time,2-4 people only
EL642,,meeting,2022-02-11,19,Friday,17:30:00,18:45:00,75,2,> 50% time,2-4 people only
L418,ED145,Dine out,2022-02-11,19,Friday,19:00:00,20:50:00,120,2,No mask,Public Place
T695,,to home,2022-02-11,19,Friday,20:50:00,21:30:00,45,1,> 50% time,Public Place
H179,,Cleaning,2022-02-11,19,Friday,21:40:00,22:00:00,30,-1,No mask,Alone
S801,,woke up,2022-02-13,19,Sunday,22:00:00,06:00:00,480,-2,No mask,Alone
H179,,Getting Ready,2022-02-14,20,Monday,06:00:00,06:30:00,30,0,No mask,Alone
ED145,UD415,Breakfast,2022-02-14,20,Monday,06:30:00,07:00:00,30,1,No mask,Alone
H179,,Packing Essentials,2022-02-14,20,Monday,07:10:00,07:30:00,30,-1,No mask,Alone
L418,UD415,Browsing Internet,2022-02-14,20,Monday,07:30:00,08:00:00,30,2,No mask,Alone
O733,UD415,Waiting for the Bus,2022-02-14,20,Monday,08:15:00,08:25:00,15,-2,> 50% time,2-4 people only
T695,,To University,2022-02-14,20,Monday,08:30:00,08:45:00,15,2,> 50% time,Public Place
EL642,UD415,Review lecture,2022-02-14,20,Monday,08:55:00,09:15:00,30,1,> 50% time,2-4 people only
EL642,UD415,Online lecture,2022-02-14,20,Monday,09:15:00,10:05:00,60,1,< 50% time,Alone
EL642,UD415,Lab,2022-02-14,20,Monday,10:15:00,12:05:00,120,1,> 50% time,2-4 people only
ED145,UD415,Lunch,2022-02-14,20,Monday,12:15:00,12:45:00,30,1,No mask,Public Place
EL642,UD415,Review Lecture,2022-02-14,20,Monday,12:45:00,13:05:00,30,1,< 50% time,2-4 people only
EL642,,In person lecture,2022-02-14,20,Monday,13:15:00,14:05:00,60,1,> 50% time,Public Place
L418,X893,Short Walk,2022-02-14,20,Monday,14:15:00,14:30:00,15,2,No mask,Alone
L418,UD415,Phone call,2022-02-14,20,Monday,14:40:00,15:00:00,30,2,> 50% time,Public Place
EL642,UD415,Online Meeting,2022-02-14,20,Monday,15:05:00,16:00:00,60,1,> 50% time,Public Place
T695,,To city center,2022-02-14,20,Monday,16:00:00,16:15:00,15,2,> 50% time,Public Place
H179,,Grocery Shopping,2022-02-14,20,Monday,16:20:00,17:30:00,75,-1,> 50% time,Public Place
O733,UD415,Waiting for the Bus,2022-02-14,20,Monday,17:40:00,18:00:00,30,-2,> 50% time,Public Place
T695,,To accomodation,2022-02-14,20,Monday,18:10:00,18:30:00,30,1,> 50% time,Public Place
ED145,,Snack,2022-02-14,20,Monday,18:30:00,18:45:00,15,2,No mask,Alone
CW982,UD415,Assignment,2022-02-14,20,Monday,18:45:00,20:00:00,75,1,No mask,Alone
ED145,,Dinner,2022-02-14,20,Monday,20:00:00,20:30:00,30,1,No mask,Alone
H179,,Cleaning,2022-02-14,20,Monday,20:30:00,20:45:00,15,-1,No mask,Alone
CW982,UD415,Assignment,2022-02-14,20,Monday,21:00:00,22:00:00,60,1,No mask,Alone
H179,,Cleaning Room,2022-02-14,20,Monday,22:00:00,22:15:00,15,1,No mask,Alone
S801,,woke up,2022-02-22,21,Tuesday,22:00:00,07:45:00,585,-2,No mask,Alone
H179,,Getting Ready,2022-02-23,21,Wednesday,07:45:00,08:20:00,45,0,No mask,Alone
ED145,,Breakfast,2022-02-23,21,Wednesday,08:20:00,08:55:00,45,1,No mask,Alone
H179,,Cleaning,2022-02-23,21,Wednesday,08:55:00,09:10:00,15,-1,No mask,Alone
H179,,Packing Essentials,2022-02-23,21,Wednesday,09:10:00,09:20:00,15,1,No mask,Alone
O733,UD415,At the bus stop,2022-02-23,21,Wednesday,09:20:00,09:34:00,15,1,> 50% time,2-4 people only
T695,,To university,2022-02-23,21,Wednesday,09:40:00,09:52:00,15,2,> 50% time,Public Place
CW982,UD415,Assignment,2022-02-23,21,Wednesday,10:00:00,11:00:00,60,1,> 50% time,Public Place
L418,X893,short walk,2022-02-23,21,Wednesday,11:00:00,11:15:00,15,2,No mask,2-4 people only
EL642,UD415,Review lecture,2022-02-23,21,Wednesday,11:15:00,12:00:00,45,1,< 50% time,Alone
L418,UD415,Browsing Internet,2022-02-23,21,Wednesday,12:00:00,12:10:00,15,1,> 50% time,Alone
EL642,UD415,Online Lecture,2022-02-23,21,Wednesday,12:15:00,13:05:00,60,1,> 50% time,2-4 people only
ED145,,Lunch,2022-02-23,21,Wednesday,13:15:00,13:45:00,30,2,No mask,2-4 people only
EL642,UD415,Review lecture,2022-02-23,21,Wednesday,13:45:00,14:00:00,15,1,> 50% time,2-4 people only
EL642,UD415,Online Lecture,2022-02-23,21,Wednesday,14:15:00,15:05:00,60,1,> 50% time,2-4 people only
CW982,UD415,Assignment,2022-02-23,21,Wednesday,15:15:00,15:45:00,30,1,< 50% time,Alone
L418,X893,short walk,2022-02-23,21,Wednesday,15:45:00,16:10:00,30,2,< 50% time,Alone
CW982,UD415,Lab,2022-02-23,21,Wednesday,16:15:00,18:05:00,120,1,> 50% time,2-4 people only
T695,UD415,At the bus stop,2022-02-23,21,Wednesday,18:10:00,18:30:00,30,-2,> 50% time,2-4 people only
T695,,To accomodation,2022-02-23,21,Wednesday,18:30:00,18:40:00,15,1,> 50% time,Public Place
H179,,Cleaning,2022-02-23,21,Wednesday,18:45:00,19:00:00,15,-1,No mask,Alone
CW982,UD415,Assignment,2022-02-23,21,Wednesday,19:10:00,20:00:00,60,1,No mask,Alone
ED145,,Dinner,2022-02-23,21,Wednesday,20:00:00,20:30:00,30,1,No mask,Alone
H179,,Cleaning,2022-02-23,21,Wednesday,20:30:00,20:45:00,15,-2,No mask,Alone
CW982,UD415,Assignment,2022-02-23,21,Wednesday,20:50:00,21:50:00,60,1,No mask,Alone
L418,UD415,Browsing Internet,2022-02-23,21,Wednesday,22:00:00,22:30:00,30,1,No mask,Alone
